# numero;nombre;partido_numero;provincia_numero
438,BARRIO LAS QUINTAS,68,1
439,CITY BELL,68,1
440,EL RETIRO,68,1
441,JOAQUIN GORINA,68,1
442,JOSE HERNANDEZ,68,1
443,JOSE MELCHOR ROMERO,68,1
444,LA CUMBRE,68,1
445,LA PLATA,68,1
446,LISANDRO OLMOS,68,1
447,LOS HORNOS,68,1
448,MANUEL B. GONNET,68,1
449,RINGUELET,68,1
450,RUFINO DE ELIZALDE,68,1
451,TOLOSA,68,1
452,TRANSRADIO,68,1
453,VILLA ELISA,68,1
454,VILLA ELVIRA,68,1
455,VILLA GARIBALDI,68,1
456,VILLA MONTORO,68,1
457,VILLA PARQUE SICARDI,68,1
458,GERLI,69,1
459,LANUS,69,1
460,LANUS ESTE,69,1
461,LANUS OESTE,69,1
462,MONTE CHINGOLO,69,1
463,REMEDIOS DE ESCALADA DE SAN MARTIN,69,1
464,VALENTIN ALSINA,69,1
465,LAPRIDA,70,1
466,PUEBLO NUEVO,70,1
467,PUEBLO SAN JORGE,70,1
468,CORONEL BOERR,71,1
469,EL TRIGO,71,1
470,LAS FLORES,71,1
471,PARDO,71,1
472,ALBERDI VIEJO,72,1
473,EL DORADO,72,1
474,FORTIN ACHA,72,1
475,JUAN BAUTISTA ALBERDI,72,1
476,LEANDRO N. ALEM,72,1
477,VEDIA,72,1
478,MANUEL J. COBO,73,1
479,ARENAZA,74,1
480,BAYAUCA,74,1
481,BERMUDEZ,74,1
482,CARLOS SALAS,74,1
483,CORONEL MARTINEZ DE HOZ,74,1
484,EL TRIUNFO,74,1
485,LAS TOSCAS,74,1
486,LINCOLN,74,1
487,PASTEUR,74,1
488,ROBERTS,74,1
489,TRIUNVIRATO,74,1
490,ARENAS VERDES,75,1
491,LICENCIADO MATIENZO,75,1
492,LOBERIA,75,1
493,PIERES,75,1
494,SAN MANUEL,75,1
495,TAMANGUEYU,75,1
496,ANTONIO CARBONI,76,1
497,ELVIRA,76,1
498,LAGUNA DE LOBOS,76,1
499,LOBOS,76,1
500,SALVADOR MARIA,76,1
501,BANFIELD,77,1
502,LLAVALLOL,77,1
503,LOMAS DE ZAMORA,77,1
504,TEMPERLEY,77,1
505,TURDERA,77,1
506,VILLA CENTENARIO,77,1
507,VILLA FIORITO,77,1
508,BARRIO LAS CASUARINAS,78,1
509,CARLOS KEEN,78,1
510,CORTINES,78,1
511,COUNTRY CLUB LAS PRADERAS,78,1
512,LEZICA Y TORREZURI,78,1
513,LUJAN,78,1
514,OLIVERA,78,1
515,OPEN DOOR,78,1
516,TORRES,78,1
517,VILLA FLANDRIA NORTE,78,1
518,VILLA FLANDRIA SUR,78,1
519,ATALAYA,79,1
520,GENERAL MANSILLA,79,1
521,LOS NARANJOS,79,1
522,MAGDALENA,79,1
523,ROBERTO J. PAYRO,79,1
524,VIEYTES,79,1
525,LAS ARMAS,80,1
526,MAIPU,80,1
